epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,145.434,0.43402,0.54349,0.81361,0.9659,1,0.995,0.90623,0.41858,0.72637,0.82474,0.000516512,0.000516512,0.000516512
131,146.398,0.39012,0.64237,0.82793,0.9659,1,0.995,0.90623,0.41858,0.72637,0.82474,0.000509438,0.000509438,0.000509438
132,147.689,0.4752,0.53796,0.8071,0.96654,1,0.995,0.90645,0.39984,0.67,0.81988,0.000502365,0.000502365,0.000502365
133,148.715,0.41815,0.51552,0.80354,0.96654,1,0.995,0.90645,0.39984,0.67,0.81988,0.000495291,0.000495291,0.000495291
134,149.748,0.47007,0.54285,0.78452,0.96654,1,0.995,0.90645,0.39984,0.67,0.81988,0.000488218,0.000488218,0.000488218
135,150.82,0.4321,0.53311,0.80171,0.96654,1,0.995,0.90645,0.39984,0.67,0.81988,0.000481144,0.000481144,0.000481144
136,151.881,0.44035,0.62174,0.81439,0.96702,1,0.995,0.91456,0.39226,0.62844,0.8175,0.000474071,0.000474071,0.000474071
137,152.91,0.47512,0.55908,0.7854,0.96702,1,0.995,0.91456,0.39226,0.62844,0.8175,0.000466997,0.000466997,0.000466997
138,153.935,0.48253,0.54472,0.84748,0.96702,1,0.995,0.91456,0.39226,0.62844,0.8175,0.000459924,0.000459924,0.000459924
139,154.947,0.43271,0.55108,0.81409,0.96702,1,0.995,0.91456,0.39226,0.62844,0.8175,0.00045285,0.00045285,0.00045285
140,155.984,0.40438,0.52415,0.8177,0.97154,1,0.995,0.90242,0.41696,0.57992,0.82121,0.000445777,0.000445777,0.000445777
141,157.054,0.4208,0.48474,0.79534,0.97154,1,0.995,0.90242,0.41696,0.57992,0.82121,0.000438703,0.000438703,0.000438703
142,158.071,0.52155,0.51063,0.82481,0.97154,1,0.995,0.90242,0.41696,0.57992,0.82121,0.000431629,0.000431629,0.000431629
143,159.297,0.44543,0.5113,0.79914,0.97154,1,0.995,0.90242,0.41696,0.57992,0.82121,0.000424556,0.000424556,0.000424556
144,160.383,0.45671,0.49379,0.80828,0.98085,1,0.995,0.90241,0.40932,0.52344,0.82018,0.000417482,0.000417482,0.000417482
145,161.394,0.45192,0.52231,0.83081,0.98085,1,0.995,0.90241,0.40932,0.52344,0.82018,0.000410409,0.000410409,0.000410409
146,162.41,0.435,0.49645,0.81962,0.98085,1,0.995,0.90241,0.40932,0.52344,0.82018,0.000403335,0.000403335,0.000403335
147,163.454,0.4458,0.5503,0.80769,0.98085,1,0.995,0.90241,0.40932,0.52344,0.82018,0.000396262,0.000396262,0.000396262
148,164.524,0.42762,0.47692,0.8033,0.98981,1,0.995,0.89878,0.40348,0.4812,0.81982,0.000389188,0.000389188,0.000389188
149,165.501,0.38706,0.51438,0.85078,0.98981,1,0.995,0.89878,0.40348,0.4812,0.81982,0.000382115,0.000382115,0.000382115
150,166.575,0.43946,0.53264,0.80747,0.98981,1,0.995,0.89878,0.40348,0.4812,0.81982,0.000375041,0.000375041,0.000375041
151,167.633,0.39317,0.50229,0.7993,0.98981,1,0.995,0.89878,0.40348,0.4812,0.81982,0.000367967,0.000367967,0.000367967
152,168.801,0.42929,0.46629,0.81264,0.98997,1,0.995,0.89569,0.40586,0.46365,0.82348,0.000360894,0.000360894,0.000360894
153,169.785,0.48503,0.48835,0.81959,0.98997,1,0.995,0.89569,0.40586,0.46365,0.82348,0.00035382,0.00035382,0.00035382
154,171.081,0.4271,0.54346,0.80047,0.98997,1,0.995,0.89569,0.40586,0.46365,0.82348,0.000346747,0.000346747,0.000346747
155,172.235,0.41292,0.50874,0.81026,0.98997,1,0.995,0.89569,0.40586,0.46365,0.82348,0.000339673,0.000339673,0.000339673
156,173.375,0.45826,0.47148,0.83513,0.99,1,0.995,0.92085,0.37902,0.46971,0.82028,0.0003326,0.0003326,0.0003326
157,174.513,0.41346,0.49162,0.79941,0.99,1,0.995,0.92085,0.37902,0.46971,0.82028,0.000325526,0.000325526,0.000325526
158,175.561,0.42163,0.46152,0.80682,0.99,1,0.995,0.92085,0.37902,0.46971,0.82028,0.000318453,0.000318453,0.000318453
159,177.024,0.39214,0.45891,0.82676,0.99,1,0.995,0.92085,0.37902,0.46971,0.82028,0.000311379,0.000311379,0.000311379
160,178.188,0.43125,0.48849,0.81269,0.98875,1,0.995,0.91114,0.36914,0.45638,0.8203,0.000304306,0.000304306,0.000304306
161,179.34,0.41763,0.44886,0.80325,0.98875,1,0.995,0.91114,0.36914,0.45638,0.8203,0.000297232,0.000297232,0.000297232
162,180.401,0.41866,0.45205,0.81042,0.98875,1,0.995,0.91114,0.36914,0.45638,0.8203,0.000290158,0.000290158,0.000290158
163,181.536,0.43956,0.4646,0.78651,0.98875,1,0.995,0.91114,0.36914,0.45638,0.8203,0.000283085,0.000283085,0.000283085
164,182.918,0.42558,0.50971,0.81864,0.98881,1,0.995,0.90503,0.35828,0.43872,0.8175,0.000276011,0.000276011,0.000276011
165,183.961,0.41141,0.458,0.80668,0.98881,1,0.995,0.90503,0.35828,0.43872,0.8175,0.000268938,0.000268938,0.000268938
166,185.051,0.43355,0.46151,0.82199,0.98881,1,0.995,0.90503,0.35828,0.43872,0.8175,0.000261864,0.000261864,0.000261864
167,186.119,0.40864,0.4901,0.8129,0.98881,1,0.995,0.90503,0.35828,0.43872,0.8175,0.000254791,0.000254791,0.000254791
168,187.255,0.39785,0.5288,0.81817,0.98959,1,0.995,0.91958,0.35797,0.42778,0.81425,0.000247717,0.000247717,0.000247717
169,188.369,0.39854,0.42786,0.81071,0.98959,1,0.995,0.91958,0.35797,0.42778,0.81425,0.000240644,0.000240644,0.000240644
170,189.482,0.40068,0.47735,0.81672,0.98959,1,0.995,0.91958,0.35797,0.42778,0.81425,0.00023357,0.00023357,0.00023357
171,190.567,0.41568,0.45843,0.77762,0.98959,1,0.995,0.91958,0.35797,0.42778,0.81425,0.000226497,0.000226497,0.000226497
172,191.72,0.43237,0.44136,0.80891,0.99017,1,0.995,0.91998,0.36982,0.4152,0.81355,0.000219423,0.000219423,0.000219423
173,192.827,0.40363,0.45291,0.81833,0.99017,1,0.995,0.91998,0.36982,0.4152,0.81355,0.000212349,0.000212349,0.000212349
174,193.875,0.39968,0.46412,0.80663,0.99017,1,0.995,0.91998,0.36982,0.4152,0.81355,0.000205276,0.000205276,0.000205276
175,194.91,0.4711,0.56309,0.812,0.99017,1,0.995,0.91998,0.36982,0.4152,0.81355,0.000198202,0.000198202,0.000198202
176,196.174,0.37596,0.42107,0.82095,0.98999,1,0.995,0.91383,0.36815,0.39957,0.81416,0.000191129,0.000191129,0.000191129
177,197.245,0.45029,0.49793,0.79937,0.98999,1,0.995,0.91383,0.36815,0.39957,0.81416,0.000184055,0.000184055,0.000184055
178,198.266,0.42442,0.47642,0.80781,0.98999,1,0.995,0.91383,0.36815,0.39957,0.81416,0.000176982,0.000176982,0.000176982
179,199.418,0.41503,0.44374,0.80935,0.98999,1,0.995,0.91383,0.36815,0.39957,0.81416,0.000169908,0.000169908,0.000169908
180,200.606,0.35927,0.45024,0.78388,0.99057,1,0.995,0.91649,0.35752,0.39005,0.81408,0.000162835,0.000162835,0.000162835
181,201.622,0.32503,0.42855,0.76648,0.99057,1,0.995,0.91649,0.35752,0.39005,0.81408,0.000155761,0.000155761,0.000155761
182,202.662,0.37719,0.48394,0.80806,0.99057,1,0.995,0.91649,0.35752,0.39005,0.81408,0.000148687,0.000148687,0.000148687
